Island,Site,Habitat,Density,Date,Sex,Mass,SVL,HeadWidth,HeadDepth,HeadLength,FemurLength,TibiaLength,BicepLength,ForearmLength,CEWLbt,CEWL,msmt_temp_C,msmt_RH_percent,msmt_e_a_kPa,msmt_VPD_kPa,ambient_percent_rh,ambient_temp,percent_veg_cover
Naxos,Alyko,nonwall,2,2023.06.04,F,4.1,56.38,6.3,3.55,11.59,11.16,7.49,5.14,6.26,28.8,18.078,29.32,44.38,1.810329342,2.268826454,39.2,27.1,45
Naxos,Alyko,nonwall,2,2023.06.08,F,4,59.29,6.32,5.59,12.84,9.16,7.62,4.7,5.25,28.8,17.27166667,29.73333333,38.48333333,1.607644106,2.569863315,38.7,26.8,54
Naxos,Alyko,nonwall,2,2023.06.08,F,3.8,54,5.47,4.06,11.41,9.27,7.78,5.36,5.77,28.2,18.126,28.58,44.72,1.747706378,2.160402697,44.8,25.9,35
Naxos,Alyko,nonwall,2,2023.06.08,F,3.3,55.56,6.04,4.84,11.94,9.8,7.77,4.6,7.23,29.9,18.5675,28.45,46.05,1.786148464,2.092566985,45.1,26.1,59
Naxos,Alyko,nonwall,2,2023.06.08,F,4,57.64,7.4,5.12,12.1,11.07,7.75,5.3,6.82,29.5,15.835,28.775,45.025,1.779641837,2.172921932,42.7,26.4,43
Naxos,Alyko,nonwall,2,2023.06.08,F,3.7,56.97,6.9,4.95,12.1,9.58,7.98,5.08,7.09,30.5,21.036,29.1,46.38,1.868017245,2.15961804,40.8,27,36
Naxos,Alyko,nonwall,2,2023.06.08,F,3.4,55.27,5.78,4.4,10.96,11.51,7.65,5.34,6.42,28.5,17.05,28.825,44.125,1.749129646,2.214903547,46.4,27,39
Naxos,Alyko,nonwall,2,2023.06.08,F,3.4,51.02,5.94,5.09,11.47,11.75,7.88,4.57,6.81,29.9,20.33,28.58,43.84,1.713315019,2.194794057,46,26.8,52
Naxos,Alyko,nonwall,2,2023.06.08,F,4.2,60.68,6.67,4.28,12.09,12.38,8.16,5.11,6.65,30,21.6875,28.65,47.1,1.848211883,2.075804853,44.5,26.3,37
Naxos,Alyko,nonwall,2,2023.06.04,M,3.9,53.62,6.51,4.43,13.32,12.67,8.14,4.88,5.73,29.7,19.6,29.425,43.125,1.769827153,2.334119869,38.3,25.9,33
Naxos,Alyko,nonwall,2,2023.06.04,M,5,56.28,7.26,6.49,14.02,11.71,8.93,6.01,6.73,,,,,,,39.7,26.2,58
Naxos,Alyko,nonwall,2,2023.06.04,M,3.1,50.39,6.27,5.05,11.99,9.57,7.65,5.93,5.66,30.3,17.97,28.75,48.125,1.899416711,2.047423207,42.8,27,41
Naxos,Alyko,nonwall,2,2023.06.08,M,4.1,54.03,6.64,4.82,13.66,10.2,8.05,5.34,5.97,29.2,17.73,29.7,39.56,1.649454173,2.520045759,38.2,26.7,38
Naxos,Alyko,nonwall,2,2023.06.08,M,5.1,56.87,6.88,5.84,13.46,11.97,8,4.89,6.2,29.6,18.852,28.76,44.96,1.775528214,2.173600376,39.1,27.1,59
Naxos,Alyko,nonwall,2,2023.06.08,M,4.2,53.23,5.93,5.51,13.21,12.11,8.12,5.32,6.12,29.2,18.004,29.54,41.02,1.694638721,2.436611209,43.2,26.5,45
Naxos,Alyko,nonwall,2,2023.06.08,M,6.4,62.2,8.49,6.49,15.6,13.89,9.85,5.83,6.8,28.2,21.312,28.77,46.95,1.855190948,2.096227472,44.1,28.2,92
Naxos,Alyko,nonwall,2,2023.06.08,M,4.1,55.75,6.89,5.62,13.61,12.11,8.76,5.41,6.73,28.5,16.924,28.78,43.6,1.723817302,2.229892106,43.8,27.5,54
Naxos,Alyko,nonwall,2,2023.06.08,M,4.4,55.23,6.67,4.78,14.05,13.23,9.08,5.72,6.76,29.3,16.746,28.74,45.84,1.808182821,2.136369581,45.1,27,62
Naxos,Alyko,nonwall,2,2023.06.08,M,4.2,54.47,6.56,5.77,13.45,11.5,8.94,5.45,7.23,28.8,17.14,28.68,47.6,1.871085349,2.059766224,39.9,26.8,50
Naxos,Alyko,nonwall,2,2023.06.08,M,4.2,55.1,6.89,5.06,13.25,11.23,8.32,5.94,7.14,28.4,18.465,28.625,44.225,1.732880982,2.185447976,42.9,27.7,32
Naxos,Alyko,nonwall,2,2023.06.08,M,4.7,58.56,7.68,6.25,13.98,10.28,9.13,5.39,6.87,,,,,,,45.3,26.5,63
Naxos,Alyko,nonwall,2,2023.06.08,M,4.4,56.58,9.59,5.97,13.81,13.3,9.34,6.58,6.98,29.1,18.734,29.18,41.62,1.68407172,2.36223227,40.9,27.4,95
Naxos,Alyko,nonwall,2,2023.06.08,M,3.7,52.25,6.92,4.48,12.71,10.56,7.66,5.3,6.36,28,18.9575,28.925,46.225,1.843018088,2.144041053,45.3,26.4,68
Naxos,Alyko,nonwall,2,2023.06.08,M,4.1,54.14,7.26,5.22,13.58,12.09,8.61,5.5,6.45,30.1,18.61666667,28.7,47.6,1.873257015,2.062156882,43.2,26.2,62
Naxos,Alyko,nonwall,2,2023.06.08,M,4.8,55.49,7.97,5.29,13.49,12.87,9.36,6.32,6.79,,,,,,,43.8,25.9,80
Naxos,Alyko,nonwall,2,2023.06.08,M,7.5,64.47,8.07,6.6,14.99,12.88,10.55,7.12,7.57,28.8,18.389,28.7,46.03,1.811471017,2.123942881,40.4,28.4,21
Naxos,Alyko,nonwall,2,2023.06.08,M,4.5,53.95,6.93,6.16,13.49,11.7,8.63,5.89,6.64,28.8,17.38,28.7,43.76666667,1.722399483,2.213014415,46.8,25.1,75
Naxos,Alyko,nonwall,2,2023.06.08,M,3.5,49.77,6.38,4.61,12.43,10.59,8.19,5,5.1,29.3,22.196,28.5,45.26,1.760612999,2.12938479,45.3,24.7,63
Naxos,Alyko,nonwall,2,2023.06.08,M,5.4,60.64,7.38,5.68,15.09,12.56,9.48,6.18,7.6,29.1,18.911,28.94,44.46,1.774186558,2.216336514,40.6,28.3,91
Naxos,Damarionas,wall,11,2023.05.27,F,4.6,56.96,6.7,5.43,12.82,9.67,8.02,6.72,6.79,27.2,NA,NA,NA,NA,NA,55.6,24.4,14
Naxos,Damarionas,wall,11,2023.05.27,F,6.9,66.18,8.1,6.31,14.1,11.99,9.33,6.24,7.13,26.8,NA,NA,NA,NA,NA,54.8,26.1,20
Naxos,Damarionas,wall,11,2023.05.27,F,3.9,55.88,6.48,4.3,12.68,10.01,8.22,6.44,5.59,28.8,17.87333333,28.13333333,45.56666667,1.735142746,2.072778423,56.1,26.4,24
Naxos,Damarionas,wall,11,2023.05.27,F,3.7,56.11,7.38,5.86,12.54,10.67,8.09,6.21,6.65,,,,,,,57.1,26,19
Naxos,Damarionas,wall,11,2023.05.27,F,3.2,55.7,7.03,4.41,12.72,10.64,7.77,5.35,6.66,28.5,18.71,28.44,45.36,1.758363349,2.11809906,58.3,24.9,12
Naxos,Damarionas,wall,11,2023.05.27,F,5.4,60,7.07,6.14,12.86,11.15,8.39,6.58,6.43,27.4,21.938,27.9,44.92,1.687411183,2.069069634,60.4,25.1,31
Naxos,Damarionas,wall,11,2023.05.27,M,6.2,62.9,9.23,5.25,15.38,13.77,10.23,7.29,6.39,,,,,,,65.5,25.2,36
Naxos,Damarionas,wall,11,2023.05.27,M,7,63.7,8.65,6.63,15.8,14.01,9.84,7.04,8.15,,,,,,,62.8,25.1,0
Naxos,Damarionas,wall,11,2023.05.27,M,6.8,66.04,8.74,7.31,16.89,14.67,10.44,8.15,7.44,,,,,,,60.1,25.1,58
Naxos,Damarionas,wall,11,2023.05.27,M,4.4,54.51,7.33,6.09,13.28,11.02,8.93,6.07,6.63,,,,,,,63.6,24.7,23
Naxos,Damarionas,wall,11,2023.05.27,M,6.4,64.7,8.74,6.81,15.74,12.81,10.46,7.74,6.9,,,,,,,64.9,25,40
Naxos,Damarionas,wall,11,2023.05.27,M,7.3,67.03,8.49,7.73,16.32,13.37,10.9,7.49,8.03,,,,,,,69.6,25.8,35
Naxos,Damarionas,wall,11,2023.05.27,M,3.4,53.99,7.04,5.33,13.63,12.65,8.88,5.45,6.73,,,,,,,62.8,26.4,26
Naxos,Damarionas,wall,11,2023.05.27,M,6,64.48,9.95,7.2,15.67,14.38,10.39,6.17,6.78,,,,,,,64.7,26.2,29
Naxos,Damarionas,wall,11,2023.05.27,M,6,65.58,8.71,5.77,15.31,12.54,10.3,7.41,7.07,,,,,,,69,24.9,64
Naxos,Damarionas,wall,11,2023.05.27,M,5.5,63.82,7.85,6.2,15.4,13.68,9.3,6.6,8.35,,,,,,,65.6,25.4,19
Naxos,Damarionas,wall,11,2023.05.27,M,6.3,63.67,9.08,5.62,15.42,11.4,9.8,8.29,8.08,,,,,,,59.7,25.7,27
Naxos,Damarionas,wall,11,2023.05.27,M,6.2,67.89,8.58,5.98,16.15,13.37,10.81,7,7.14,,,,,,,67.6,26.2,13
Naxos,Damarionas,wall,11,2023.05.27,M,6.9,67.22,9,9.87,16.22,11.31,10.53,6.52,8.09,28.7,19.258,28.8,41.62,1.64744232,2.310852538,66.5,26.3,40
Naxos,Damarionas,wall,11,2023.05.27,M,6.1,63.23,7.96,8.19,15.78,14.7,10.41,7.33,7.13,27.8,21.464,28.54,45.06,1.756909344,2.142134917,59.8,24.9,21
Naxos,Damarionas,wall,11,2023.05.27,M,7.4,66.99,8.58,7.23,16.5,11.55,10.9,6.35,8.43,27.5,20.0866667,28.5,42.9333333,1.67010572,2.21989207,70.5,25.2,25
Naxos,Damarionas,wall,11,2023.05.27,M,6.4,63.24,7.38,7.29,15.31,12.72,10.68,6.81,8.15,28.7,20.146,28.82,43.96,1.742084222,2.220800724,66.4,25.5,15
Naxos,Damarionas,wall,11,2023.05.27,M,7.3,64.58,8.82,7.62,16.04,15.08,10.26,6.67,6.99,29.1,24.532,28.7,43.54,1.713479211,2.221934687,58.2,25,10
Naxos,Filoti Valley,nonwall,6,2023.06.12,F,6.8,64.25,6.24,6.45,14,11.1,9.98,6.01,6.03,30,22.956,29.02,48.4,1.940376199,2.068665534,40.9,23.9,62
Naxos,Filoti Valley,nonwall,6,2023.06.12,F,5.6,60.98,7.53,6.54,13.56,12.05,10.1,6.15,6.22,27,17.988,28.9,45.42,1.80830271,2.17298904,43.6,22.2,20
Naxos,Filoti Valley,nonwall,6,2023.06.12,F,6.5,61.95,7.87,6.16,13.78,11.55,8.97,5.98,5.9,28.4,17.28,29.325,40.775,1.663755929,2.416577434,41.4,23.2,36
Naxos,Filoti Valley,nonwall,6,2023.06.12,F,6,61.09,7.18,6.11,13.46,10.76,9.38,6.53,6.5,,,,,,,40.2,23,10
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,8.7,68.34,9.56,8.52,16.19,13.7,11.23,7.21,7.23,28.5,16.742,29.3,45.5,1.853874063,2.220574427,44.1,25.3,32
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,6.7,59.11,8.84,7.25,14.92,13.74,10.51,6.36,6.38,28.9,19.096,29.6,43.86,1.818241599,2.327316082,42.6,24.9,58
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,6,59.74,8.82,6.74,14.47,13.3,10.92,7.21,7.18,27.6,16.71,28.1,48.26666667,1.834391623,1.966143508,45.8,25.5,62
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,7,62.79,8.92,7.87,16.01,14.02,10.77,7.02,6.93,,,,,,,44.1,26.2,34
